"x","y","path","block_id","ring","segment"
5.266997,4.221521,18,449,7,11
5.230467,4.266698,19,449,7,11
5.19355,4.311559,20,449,7,11
5.156248,4.3561,21,449,7,11
5.118564,4.400318,22,449,7,11
5.275004,3.797938,1,450,7,12
5.307497,3.752396,2,450,7,12
5.339598,3.706575,3,450,7,12
5.371302,3.66048,4,450,7,12
5.402609,3.614113,5,450,7,12
5.433516,3.567479,6,450,7,12
5.46402,3.520581,7,450,7,12
5.494119,3.473422,8,450,7,12
5.523811,3.426005,9,450,7,12
5.553094,3.378335,10,450,7,12
5.581966,3.330414,11,450,7,12
5.796657,3.458507,12,450,7,12
5.766675,3.508271,13,450,7,12
5.736265,3.557775,14,450,7,12
5.705431,3.607015,15,450,7,12
5.674174,3.655988,16,450,7,12
5.642497,3.70469,17,450,7,12
5.610402,3.753118,18,450,7,12
5.577891,3.801267,19,450,7,12
5.544967,3.849135,20,450,7,12
5.511632,3.896718,21,450,7,12
5.477889,3.944013,22,450,7,12
5.581966,3.330414,1,451,7,13
5.610424,3.282247,2,451,7,13
5.638466,3.233836,3,451,7,13
5.666091,3.185186,4,451,7,13
5.693296,3.1363,5,451,7,13
5.720079,3.087182,6,451,7,13
5.746439,3.037835,7,451,7,13
5.772373,2.988263,8,451,7,13
5.797879,2.938469,9,451,7,13
5.822955,2.888458,10,451,7,13
5.847601,2.838233,11,451,7,13
6.072508,2.947396,12,451,7,13
6.046915,2.999553,13,451,7,13
6.020874,3.051487,14,451,7,13
5.994387,3.103196,15,451,7,13
5.967456,3.154675,16,451,7,13
5.940082,3.20592,17,451,7,13
5.912269,3.256927,18,451,7,13
5.884018,3.307693,19,451,7,13
5.85533,3.358215,20,451,7,13
5.826209,3.408487,21,451,7,13
5.796657,3.458507,22,451,7,13
5.847601,2.838233,1,452,7,14
5.871813,2.787798,2,452,7,14
5.89559,2.737156,3,452,7,14
5.91893,2.686311,4,452,7,14
5.941832,2.635267,5,452,7,14
5.964294,2.584028,6,452,7,14
5.986313,2.532598,7,452,7,14
6.00789,2.48098,8,452,7,14
6.029021,2.429178,9,452,7,14
6.049706,2.377196,10,452,7,14
6.069942,2.325039,11,452,7,14
6.303401,2.414463,12,452,7,14
6.282387,2.468627,13,452,7,14
6.260906,2.522608,14,452,7,14
6.238962,2.576402,15,452,7,14
6.216556,2.630006,16,452,7,14
6.193689,2.683414,17,452,7,14
6.170364,2.736624,18,452,7,14
6.146581,2.789631,19,452,7,14
6.122343,2.842431,20,452,7,14
6.097652,2.895021,21,452,7,14
6.072508,2.947396,22,452,7,14
6.069942,2.325039,1,453,7,15
6.089729,2.272708,2,453,7,15
6.109064,2.22021,3,453,7,15
6.127947,2.167547,4,453,7,15
6.146377,2.114724,5,453,7,15
6.16435,2.061743,6,453,7,15
6.181867,2.00861,7,453,7,15
6.198926,1.955329,8,453,7,15
6.215526,1.901902,9,453,7,15
6.231666,1.848335,10,453,7,15
6.247344,1.79463,11,453,7,15
6.487626,1.863655,12,453,7,15
6.471345,1.919425,13,453,7,15
6.454585,1.975052,14,453,7,15
6.437347,2.030534,15,453,7,15
6.419631,2.085865,16,453,7,15
6.401441,2.141041,17,453,7,15
6.382776,2.196059,18,453,7,15
6.363638,2.250914,19,453,7,15
6.344028,2.305603,20,453,7,15
6.323949,2.36012,21,453,7,15
6.303401,2.414463,22,453,7,15
6.247344,1.79463,1,454,7,16
6.262559,1.740793,2,454,7,16
6.27731,1.686827,3,454,7,16
6.291596,1.632735,4,454,7,16
6.305415,1.578523,5,454,7,16
6.318768,1.524194,6,454,7,16
6.331653,1.469752,7,454,7,16
6.344069,1.415201,8,454,7,16
6.356014,1.360545,9,454,7,16
6.367489,1.305789,10,454,7,16
6.378492,1.250935,11,454,7,16
6.623819,1.299048,12,454,7,16
6.612392,1.356011,13,454,7,16
6.600476,1.412874,14,454,7,16
6.588071,1.469632,15,454,7,16
6.575178,1.526281,16,454,7,16
6.561798,1.582817,17,454,7,16
6.547931,1.639236,18,454,7,16
6.53358,1.695533,19,454,7,16
6.518745,1.751705,20,454,7,16
6.503426,1.807747,21,454,7,16
6.487626,1.863655,22,454,7,16
6.378492,1.250935,1,455,7,17
6.389023,1.195989,2,455,7,17
6.39908,1.140955,3,455,7,17
6.408663,1.085836,4,455,7,17
6.417771,1.030636,5,455,7,17
6.426404,0.9753601,6,455,7,17
6.434561,0.9200119,7,455,7,17
6.442241,0.8645956,8,455,7,17
